id,genres,keywords,original_title,overview,popularity,vote_average,vote_count,title
278,"['Drama', 'Crime']","['prison', 'friendship', 'police brutality', 'corruption', 'based on novel or book', 'hope', 'prison cell', 'delinquent', 'redemption', 'parole board', 'prison escape', 'wrongful imprisonment', 'interracial friendship', 'framed for murder', '1940s', 'voiceover']",The Shawshank Redemption,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",142.177,8.71,25276,The Shawshank Redemption
238,"['Drama', 'Crime']","['based on novel or book', 'loss of loved one', 'love at first sight', 'italy', 'symbolism', 'patriarch', 'europe', 'organized crime', 'mafia', 'religion', 'lawyer', 'revenge motive', 'crime family', 'sicilian mafia', 'religious hypocrisy', 'gun violence', 'rise to power', 'dead horse', 'gang violence', '1940s', '1950s', 'mafia war', 'critically acclaimed']",The Godfather,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",148.381,8.708,19256,The Godfather
240,"['Drama', 'Crime']","['italian american', 'cuba', 'italy', 'gangster', 'praise', 'symbolism', 'melancholy', 'revenge', 'organized crime', 'mafia', 'lawyer', 'suburb', 'corrupt politician']",The Godfather Part II,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",84.032,8.589,11610,The Godfather Part II
424,"['Drama', 'History', 'War']","['factory', 'hero', 'based on novel or book', 'nazi', 'concentration camp', 'ss (nazi schutzstaffel)', 'holocaust (shoah)', 'world war ii', 'ghetto', 'jew persecution', 'kraków, poland', 'defense industry', 'auschwitz-birkenau concentration camp', 'biography', 'based on true story', 'industrialist', 'historical fiction', 'black and white', 'train', 'poland', 'weapons manufacturer']",Schindler's List,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,68.4,8.572,14967,Schindler's List
19404,"['Comedy', 'Drama', 'Romance']","[""family's daily life"", 'family history', 'love-hate relationship', 'family drama', 'love affair']",दिलवाले दुल्हनिया ले जायेंगे,"Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.",35.926,8.547,4311,Dilwale Dulhania Le Jayenge
389,['Drama'],"['death penalty', 'anonymity', 'court case', 'court', 'judge', 'jurors', 'father murder', 'class', 'sultriness', 'heat', 'innocence', 'puerto rico', 'based on play or musical', 'black and white', 'courtroom', 'courtroom drama', 'one location']",12 Angry Men,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",47.739,8.546,7925,12 Angry Men
129,"['Animation', 'Family', 'Fantasy']","['witch', 'parent child relationship', 'darkness', 'bath house', 'magic', 'spirit', 'parallel world', 'amusement park', 'youkai', 'japanese mythology', 'anime']",千と千尋の神隠し,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",123.188,8.539,15337,Spirited Away
155,"['Drama', 'Action', 'Crime', 'Thriller']","['joker', 'sadism', 'chaos', 'secret identity', 'crime fighter', 'superhero', 'anti hero', 'scarecrow', 'based on comic', 'vigilante', 'organized crime', 'tragic hero', 'anti villain', 'criminal mastermind', 'district attorney', 'super power', 'super villain', 'neo-noir']",The Dark Knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",109.208,8.5,31209,The Dark Knight
496243,"['Comedy', 'Thriller', 'Drama']","['dark comedy', 'private lessons', 'birthday party', 'con artist', 'working class', 'psychological thriller', 'class differences', 'housekeeper', 'tutor', 'family', 'crime family', 'unemployed', 'wealthy family', 'south korea', 'seoul, south korea']",기생충,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",92.027,8.511,16896,Parasite
497,"['Fantasy', 'Drama', 'Crime']","['mentally disabled', 'based on novel or book', 'southern usa', 'psychopath', 'death row', 'jail guard', 'supernatural', 'great depression', 'prison guard', 'jail', 'electric chair', 'torture', 'magic realism', 'healing', '1930s', 'abuse of power']",The Green Mile,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",86.996,8.511,16329,The Green Mile
372058,"['Romance', 'Animation', 'Drama']","['race against time', 'afterlife', 'natural disaster', 'supernatural', 'time travel', 'comet', 'romance', 'tragedy', 'school', 'body-swap', 'nonlinear timeline', 'star crossed lovers', 'anime', 'dreams']",君の名は。,"High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other.",97.592,8.5,10643,Your Name.
